table_name,field_name,field_type,field_title,count
main,_link,text,_link,234
main,note,boolean,note,234
main,int_st,text,int_st,234
main,int_t_ele,text,int_t_ele,234
main,int_f_elet,text,int_f_elet,234
main,int_dt_ele,number,int_dt_ele,234
main,int_l_terr,text,int_l_terr,234
main,int_area,text,int_area,234
main,int_desc_reg,text,int_desc_reg,234
main,int_cod_reg,number,int_cod_reg,234
main,int_desc_circ,text,int_desc_circ,234
main,int_cod_circ,number,int_cod_circ,234
main,int_desc_prov,text,int_desc_prov,234
main,int_cod_prov,number,int_cod_prov,234
main,int_desc_com,text,int_desc_com,234
main,int_cod_com,number,int_cod_com,234
liste,_link,text,_link,4513
liste,_link_main,text,_link_main,4513
liste,cod,number,cod,4513
liste,desc,text,desc,4513
liste,img_lis_c,text,img_lis_c,4513
liste,sez_perv,number,sez_perv,4513
liste,sez_tot,number,sez_tot,4513
cand,_link,text,_link,34947
cand,_link_main,text,_link_main,34947
cand,cod_lis,number,cod_lis,34947
cand,cod_cand,number,cod_cand,34947
cand,cogn,text,cogn,34947
cand,nome,text,nome,34947
cand,a_nome,text,a_nome,34947
cand,sex,text,sex,34947
cand,d_nasc,number,d_nasc,34947
cand,l_nasc,text,l_nasc,34947
cand,voti,number,voti,34947
